region,planting_code,planting_label,scenario,cultivar_id,cultivar_label,n_years,n_sites,yield_mean_kg_ha,yield_sd_across_years,irrigation_mean_mm,seasonal_precip_mean_mm,best_yield_mean_kg_ha,yield_penalty_percent
Southcentral,APR10,Apr 10,Irrigated,990003,Short Season,38,507,4229.4084397383995,824.1087251123947,146.69495484272812,446.2999065711616,4229.4084397383995,0.0
Southcentral,APR10,Apr 10,Irrigated,990004,V. Short Season,38,507,2475.9095816464237,632.8137628662691,81.66069760199315,398.2276030312467,2923.506903353057,15.310287832509331
Southcentral,APR10,Apr 10,Rainfed,990001,Long Season,38,507,2904.3012041939164,2032.005068378484,0.0,541.1683276237932,3202.951313194228,9.32421631793319
Southcentral,APR10,Apr 10,Rainfed,990002,Medium Season,38,507,4419.292691788643,2457.4766629601318,0.0,484.5264715042043,4419.292691788643,0.0
Southcentral,APR10,Apr 10,Rainfed,990003,Short Season,38,507,3339.539811066127,1263.5133647875653,0.0,439.49024187688156,3339.539811066127,0.0
Southcentral,APR10,Apr 10,Rainfed,990004,V. Short Season,38,507,2300.3809301359906,663.7855759802071,0.0,392.6832243330219,2691.10910412125,14.51922456012228
Southcentral,APR20,Apr 20,Irrigated,990001,Long Season,38,507,5536.178656700924,1480.8480403498654,286.2426035502959,567.1010588601682,6361.080712135368,12.967954546791637
Southcentral,APR20,Apr 20,Irrigated,990002,Medium Season,38,507,6728.80717325859,1562.6862423206812,215.51308003737154,504.7251635004672,6955.459047025849,3.2586184784478727
Southcentral,APR20,Apr 20,Irrigated,990003,Short Season,38,507,4177.777639364685,843.6381523698416,148.37667393335408,454.733001141908,4229.4084397383995,1.22075701860822
Southcentral,APR20,Apr 20,Irrigated,990004,V. Short Season,38,507,2762.2430187895775,624.372464802504,87.36634485622339,418.68405481158516,2923.506903353057,5.516110954912449
Southcentral,APR20,Apr 20,Rainfed,990001,Long Season,38,507,2984.2512197653896,2031.7060857141075,0.0,561.9843766220284,3202.951313194228,6.8280804808966655
Southcentral,APR20,Apr 20,Rainfed,990002,Medium Season,38,507,4305.046195370082,2423.220058844226,0.0,502.3035399148759,4419.292691788643,2.5851760538703186
Southcentral,APR20,Apr 20,Rainfed,990003,Short Season,38,507,3317.856327208554,1282.3068089575888,0.0,454.45889131111807,3339.539811066127,0.6492955641888559
Southcentral,APR20,Apr 20,Rainfed,990004,V. Short Season,38,507,2665.204090106924,688.022840439569,0.0,419.1371327727603,2691.10910412125,0.9626147811938982
