region,planting_code,planting_label,cultivar_id,cultivar_label,n_years,n_sites,rainfed_yield_mean_kg_ha,irrigated_yield_mean_kg_ha,irrigation_mean_mm,incremental_benefit_mean_kg_ha,incremental_iwue_mean_kg_m3,gross_irrigation_productivity_mean_kg_m3,yield_gap_mean_percent,rainfed_seasonal_precip_mean_mm
Northeast,APR01,Apr 01,990001,Long Season,38,467,4566.098162966303,6465.37011157444,196.4738532627071,1899.271948608137,0.8251566660340858,5.89485701274234,33.82517403547492,560.6518088583342
Northeast,APR01,Apr 01,990002,Medium Season,38,467,6213.56102783726,7853.834497915023,149.13924264623014,1640.273470077764,0.8789248066408583,8.388772552760686,23.87002720153753,482.1377211766032
Northeast,APR01,Apr 01,990003,Short Season,38,467,4058.5009579623575,4527.385946128705,98.65462639468049,468.88498816634734,0.3056128874519047,6.304511898191719,11.450869899203928,421.0503211991434
Northeast,APR01,Apr 01,990004,V. Short Season,38,467,2338.3436267327847,2419.287388707314,54.971542882903194,80.94376197452948,0.08067546972355943,5.572600733632798,2.7262297237959117,368.0318381607123
Northeast,APR10,Apr 10,990001,Long Season,38,467,4877.844133889327,6629.434914910402,184.7669897441677,1751.5907810210751,0.7561324864351261,6.980245801092436,31.120103041969926,679.061140538713
Northeast,APR10,Apr 10,990002,Medium Season,38,467,6465.524512566211,7733.7002704834895,143.6239152485067,1268.1757579172772,0.6234156138838433,8.874357387315717,19.301257591924433,597.830102558323
Northeast,APR10,Apr 10,990003,Short Season,38,467,4200.670348247492,4566.117660317818,101.73841992561704,365.4473120703257,0.21929616991508685,6.430651831618173,9.364808407379183,540.5778203538825
Northeast,APR10,Apr 10,990004,V. Short Season,38,467,2398.26749690071,2424.8014200383186,59.13867913896089,26.533923137608475,0.02182840398641142,5.253769762199933,0.9444804150090864,490.64335624929555
Northeast,APR20,Apr 20,990001,Long Season,38,467,4950.243773244675,6768.546320297532,185.92499718246367,1818.3025470528569,0.7740243769100751,6.9534464803875,31.87711149854367,694.1950298658852
Northeast,APR20,Apr 20,990002,Medium Season,38,467,6259.340076636989,7556.062774709793,147.9248844810098,1296.7226980728053,0.6249718412881182,8.345149406662625,20.271578417305516,610.6805477290658
Northeast,APR20,Apr 20,990003,Short Season,38,467,4185.76952552688,4544.388369209963,103.73605319508621,358.6188436830835,0.21566605723314838,6.124244392208214,9.285613285670825,551.401667981517
Northeast,APR20,Apr 20,990004,V. Short Season,38,467,2746.9124873210862,2786.0936549081484,62.590161163079,39.18116758706187,0.030859657709584456,5.76712521346192,1.4388075057025187,506.89992110898237
Northeast,MAY01,May 01,990001,Long Season,38,467,5012.06981855066,6910.169221232954,186.81111236334948,1898.0994026822948,0.7764640154789607,6.8899607367089315,32.97118095010155,715.0032119914347
Northeast,MAY01,May 01,990002,Medium Season,38,467,6151.6206469063445,7674.631973402456,153.21480897103572,1523.0113264961117,0.745610283631742,7.981938235475658,23.252977447256885,627.284627521695
Northeast,MAY01,May 01,990003,Short Season,38,467,4133.131015440099,4534.148371463992,110.63760847514932,401.0173560238927,0.2383633910794116,5.760409987568688,10.35393011513562,569.2476050941057
Northeast,MAY01,May 01,990004,V. Short Season,38,467,2783.8269469176153,2824.8186070100305,68.54220669446636,40.991660092415195,0.03105132638877708,5.222519685455609,1.3788449688434548,523.8668995830046
Northeast,MAY10,May 10,990001,Long Season,38,467,5123.9811225064805,7072.062718359067,188.20015778203538,1948.0815958525866,0.8067311134834462,6.76816846205496,33.209087974023966,740.1429617942072
Northeast,MAY10,May 10,990002,Medium Season,38,467,6303.792572974191,7952.859404936324,156.78885382621434,1649.0668319621323,0.8120736423493607,8.042774584985871,24.992092373764446,648.3410345993464
Northeast,MAY10,May 10,990003,Short Season,38,467,4044.5786092640597,4530.493237912769,119.97774146286486,485.9146286487096,0.2722230815992678,5.361547054206798,12.683736347598789,588.4349149104023
Northeast,MAY10,May 10,990004,V. Short Season,38,467,3035.6004733461064,3075.219767835005,74.6280852022991,39.6192944888989,0.030869204059399035,5.33795316717919,1.5257166404614115,540.7567339118675
Northeast,MAY20,May 20,990001,Long Season,38,467,5473.686577256846,7626.696607686239,189.649780232165,2153.0100304293924,0.8785349676035142,6.839445297777473,33.471070874016306,770.7162740899357
Northeast,MAY20,May 20,990002,Medium Season,38,467,6374.6174349149105,8197.239546940154,161.3659416206469,1822.6221120252453,0.8467301412160593,8.133348500086688,27.029301038553932,674.4101205905556
Northeast,MAY20,May 20,990003,Short Season,38,467,4228.865209061197,4819.983996393554,130.0602952778091,591.1187873323565,0.330842295608395,5.141642722224493,15.204754276507822,613.4457342499718
Northeast,MAY20,May 20,990004,V. Short Season,38,467,3031.6636988617156,3125.4801081933956,86.25042263045194,93.81640933168038,0.062815789742021,4.7647522600219325,3.431142537991654,564.3849881663473
Northwest,APR01,Apr 01,990001,Long Season,38,499,2265.9538550785783,6600.764212635798,369.1250922898428,4334.8103575572195,1.1751313135333887,1.9504720607966797,67.81253111345275,362.7592553528109
Northwest,APR01,Apr 01,990002,Medium Season,38,499,2728.5201982913195,7764.71158105685,280.81689695179836,5036.191382765531,1.8191714826817538,3.0018013365663045,65.8479023788007,316.70129733150515
Northwest,APR01,Apr 01,990003,Short Season,38,499,2260.877808248075,4588.250342790845,198.20825862250817,2327.3725345427697,1.140750411643461,2.5192916232087943,50.34668138092562,263.45601729775336
Northwest,APR01,Apr 01,990004,V. Short Season,38,499,1700.2963822381605,2222.9288049783777,95.07435924480541,522.6324227402173,0.4105339590626533,2.586832230626667,19.824901594692122,219.72033540765742
Northwest,APR10,Apr 10,990001,Long Season,38,499,2208.3298702668494,6778.074253770699,382.87627887353653,4569.74438350385,1.2069852838299302,1.9995709943154087,69.59434985133876,416.99356607952745
Northwest,APR10,Apr 10,990002,Medium Season,38,499,2627.6721864782194,7841.580107583588,290.88176352705415,5213.907921105369,1.8706266547682846,3.064744817128835,67.80059214395749,373.890517877861
Northwest,APR10,Apr 10,990003,Short Season,38,499,2363.3258622508174,4636.988134163063,209.7088914671448,2273.6622719122456,1.0363393141363317,2.4887857853504882,49.79528661575256,323.06803079843894
Northwest,APR10,Apr 10,990004,V. Short Season,38,499,1898.6969728931547,2315.1354814892943,109.19338677354709,416.4385085961396,0.2890457753435024,2.346065976397239,16.555140414656396,280.885560594874
Northwest,APR20,Apr 20,990001,Long Season,38,499,2176.439827022466,6973.549150933446,384.29886087965406,4797.10932391098,1.268837202813082,2.057308855405628,70.51065758832796,424.2501845796857
Northwest,APR20,Apr 20,990002,Medium Season,38,499,2709.8409450479908,7974.5291108532865,292.20150827971736,5264.688165805295,1.8802213260259744,3.1580292775132737,67.73113576545975,382.75234679886086
Northwest,APR20,Apr 20,990003,Short Season,38,499,2251.0725661850015,4701.179675139753,216.16390676089023,2450.1071089547513,1.1092241131233378,2.4616987488328803,53.424868453639796,335.266269380867
Northwest,APR20,Apr 20,990004,V. Short Season,38,499,2181.318637274549,2777.9015926590023,124.38956861090601,596.5829553844532,0.41009734155026845,2.5037753232446516,20.784754280963735,293.48887248180574
Northwest,MAY01,May 01,990001,Long Season,38,499,2166.5149773230673,7269.136167070985,386.19475793692646,5102.621189747917,1.362000471371309,2.1629869507325097,71.82454114641878,441.4519038076152
Northwest,MAY01,May 01,990002,Medium Season,38,499,2860.122402700137,8135.232886826284,294.20683472207577,5275.110484126148,1.8434188944377594,3.2522480711689825,66.51742093269243,400.87200717223925
Northwest,MAY01,May 01,990003,Short Season,38,499,2307.600569560173,4659.994937242907,216.85476215589074,2352.394367682734,1.0689981810376337,2.4536629417541875,52.22601302303332,354.248496993988
Northwest,MAY01,May 01,990004,V. Short Season,38,499,2298.5657103681046,2906.298017086805,131.52621031536756,607.7323067187006,0.3603034963185158,2.503007516112431,20.141675189044,313.52330977744964
Northwest,MAY10,May 10,990001,Long Season,38,499,2283.8937875751503,7558.478325071194,388.2145870688746,5274.584537496045,1.4041556327519693,2.241580068211279,71.16330522227793,450.4451007277713
Northwest,MAY10,May 10,990002,Medium Season,38,499,2947.381394367683,8326.08981120135,300.06196603733787,5378.708416833667,1.7890507106295523,3.262857276080928,66.5929173593609,413.34189431494565
Northwest,MAY10,May 10,990003,Short Season,38,499,2341.243434236895,4800.272228667862,222.86546777766057,2459.028794430967,1.0669659049013482,2.519329125607078,53.05679528696141,370.2109482122139
Northwest,MAY10,May 10,990004,V. Short Season,38,499,2333.1994515346482,3042.1394895053268,143.7480223605105,708.9400379706782,0.4101380244958665,2.407592465891759,24.06367194337729,328.9461027317794
Northwest,MAY20,May 20,990001,Long Season,38,499,2376.3952642126355,7927.752715958231,389.52378441092714,5551.357451745596,1.4597023426399875,2.403737265407171,71.25248995784304,459.7559329184685
Northwest,MAY20,May 20,990002,Medium Season,38,499,2906.573462714903,8734.444626094293,305.76284147241853,5827.87116337939,1.9402306603442774,3.5416212055174703,68.74220270918057,426.0054319164645
Northwest,MAY20,May 20,990003,Short Season,38,499,2406.7317793481698,5137.421949161481,228.58348275498366,2730.690169813311,1.16568694527188,2.792641273987168,55.65136489899653,393.61807826178676
