planting_code,planting_label,region,scenario,cultivar_id,maturity_class,maturity_class_long,stage,stage_label,threshold,threshold_label,n_sites,valid_site_years,event_site_years,equal_site_mean_probability_pct,mean_exposure_days,mean_exceedance_degree_c_days,mean_longest_consecutive_run_days,pooled_probability_pct
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,growing,Planting to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,61.19299958881579,265.4334806743421,,100.0
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,growing,Planting to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,18919,97.2399259868421,23.153731496710527,62.26842619243421,7.595600328947368,97.23992598684211
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,growing,Planting to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,17853,91.76089638157895,8.89489103618421,17.073087993421055,3.9092824835526314,91.76089638157895
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,growing,Planting to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,16701,85.83984375,4.728258634868421,,,85.83984375
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,reproductive,Anthesis to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,36.59169407894737,180.71327097039475,,100.0
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,reproductive,Anthesis to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,18764,96.44325657894737,16.733192845394736,48.46516755756579,7.100842927631579,96.44325657894737
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,reproductive,Anthesis to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,17550,90.20353618421052,7.1806640625,14.13411287006579,3.5299650493421053,90.20353618421052
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,reproductive,Anthesis to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,0,0.0,0.0,,,0.0
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,vegetative,Emergence to pre-anthesis,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,24.381167763157894,84.49906455592105,,100.0
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,vegetative,Emergence to pre-anthesis,tmax_ge35,Tmax ≥ 35°C,512,19456,17132,88.05509868421052,6.420538651315789,13.803258634868422,3.1585629111842106,88.05509868421052
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,vegetative,Emergence to pre-anthesis,tmax_ge38,Tmax ≥ 38°C,512,19456,10624,54.60526315789473,1.7142269736842104,2.9389751233552635,1.270250822368421,54.60526315789474
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,vegetative,Emergence to pre-anthesis,tmin_le0,Tmin ≤ 0°C,512,19456,5190,26.675575657894736,0.5582853618421052,,,26.675575657894736
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,establishment,Planting to emergence,tmax_ge30,Tmax ≥ 30°C,512,19456,4906,25.215871710526315,0.30535567434210525,0.36242804276315793,,25.215871710526315
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,establishment,Planting to emergence,tmax_ge35,Tmax ≥ 35°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,establishment,Planting to emergence,tmax_ge38,Tmax ≥ 38°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,establishment,Planting to emergence,tmin_le0,Tmin ≤ 0°C,512,19456,15074,77.47738486842105,4.1957750822368425,,,77.47738486842105
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,9.487458881578947,36.83394839638158,,100.0
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge35,Tmax ≥ 35°C,512,19456,14505,74.55283717105263,3.0182976973684212,6.20891755756579,2.0562294407894735,74.55283717105263
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge38,Tmax ≥ 38°C,512,19456,6118,31.4453125,0.7740028782894737,1.3061266447368423,0.6450452302631579,31.4453125
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmin_le0,Tmin ≤ 0°C,512,19456,0,0.0,0.0,,,0.0
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,growing,Planting to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,45.87021998355263,194.04837582236843,,100.0
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,growing,Planting to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,18860,96.93667763157895,16.55967310855263,44.413810649671056,6.502569901315789,96.93667763157895
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,growing,Planting to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,16873,86.72388980263158,6.353155838815789,12.34905427631579,3.435546875,86.72388980263158
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,growing,Planting to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,16701,85.83984375,4.728258634868421,,,85.83984375
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,reproductive,Anthesis to maturity,tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,31.81506990131579,154.5812705592105,,100.0
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,reproductive,Anthesis to maturity,tmax_ge35,Tmax ≥ 35°C,512,19456,18860,96.93667763157895,14.03381990131579,40.47791940789474,6.418122944078947,96.93667763157895
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,reproductive,Anthesis to maturity,tmax_ge38,Tmax ≥ 38°C,512,19456,16694,85.80386513157895,5.955694901315789,11.98893400493421,3.3865131578947367,85.80386513157895
A1,April 1,Northcentral,Rainfed,990002,MS,Medium Season,reproductive,Anthesis to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,0,0.0,0.0,,,0.0
