region,scenario,cultivar_id,maturity_class,planting_code,planting_label,n_years,mean_yield_kg_ha,mean_flowering_edd35,flowering_ge35_site_pct,flowering_ge38_site_pct,heat_associated_penalty_kg_ha,heat_associated_penalty_pct,zeroheat_sensitivity_penalty_kg_ha,best_mean_yield_kg_ha,total_planting_date_penalty_kg_ha,total_planting_date_penalty_pct,heat_component_fraction_of_total_penalty
Northcentral,Rainfed,990003,SS,A1,April 1,38,3166.4267064144738,2.0468698601973685,44.79337993421053,14.406866776315788,37.41354703254037,1.9495501000831854,37.41354703254037,3237.0057565789475,70.57905016447376,2.180380742945163,0.5300942269037878
Northcentral,Rainfed,990003,SS,A10,April 10,38,3190.4812397203946,2.614208591876354,53.43359864854279,17.94569840433099,47.78360266421928,2.164697253501925,47.78360266421928,3237.0057565789475,46.52451685855294,1.4372701303973803,1.0270628453702013
Northcentral,Rainfed,990003,SS,A20,April 20,38,3160.474249588816,4.13250575328584,63.6622619651085,23.973389931630546,75.53567589680323,3.7052905003062935,75.53567589680323,3237.0057565789475,76.53150699013167,2.3642684859175085,0.9869879591753387
Northcentral,Rainfed,990003,SS,M1,May 1,38,3237.0057565789475,5.990758634868421,72.91837993421053,31.49157072368421,109.50160257117405,5.036785992927842,109.50160257117405,3237.0057565789475,0.0,0.0,
Northcentral,Rainfed,990003,SS,M10,May 10,38,3091.127569901316,10.894582648026315,79.98046875,47.70764802631579,199.1357575916074,10.576249301928408,199.1357575916074,3237.0057565789475,145.87818667763167,4.506577919459867,1.365082485098795
Northcentral,Rainfed,990003,SS,M20,May 20,38,3091.227847450658,16.14722964638158,86.86780427631578,58.0078125,295.1458456483767,13.478762182372213,295.1458456483767,3237.0057565789475,145.7779091282896,4.5034800704944065,2.0246266901018464
Northcentral,Rainfed,990004,VSS,A1,April 1,38,2129.0656352796054,0.5431178042763157,23.905222039473685,3.772615131578947,10.087260271937135,0.4821711001811014,10.087260271937135,2697.9737356085525,568.9081003289471,21.08649512856079,0.017730913421877107
Northcentral,Rainfed,990004,VSS,A10,April 10,38,2204.7294921875,0.776805625003014,27.863278257648467,5.7225624394187085,14.427515464257645,0.6930718336828681,14.427515464257645,2697.9737356085525,493.2442434210525,18.282025392281916,0.029250246012383272
Northcentral,Rainfed,990004,VSS,A20,April 20,38,2588.1421669407896,1.2182056053344708,34.232503265854156,7.777630534237416,22.625583085266953,0.9291681219521086,22.625583085266953,2697.9737356085525,109.8315686677629,4.0708909511674465,0.2060025488091556
Northcentral,Rainfed,990004,VSS,M1,May 1,38,2594.8449835526317,2.012196751644737,45.235402960526315,14.283511513157896,37.372283126001875,1.6770914853063488,37.372283126001875,2697.9737356085525,103.12875205592081,3.8224520385354745,0.36238471212894174
Northcentral,Rainfed,990004,VSS,M10,May 10,38,2697.9737356085525,3.150236430921053,61.651932565789465,19.983552631578945,58.508954312740705,2.3466645519813896,58.508954312740705,2697.9737356085525,0.0,0.0,
Northcentral,Rainfed,990004,VSS,M20,May 20,38,2629.682257401316,6.7250925164473685,74.62479440789474,33.63486842105263,124.90431731777345,5.725650661831524,124.90431731777345,2697.9737356085525,68.29147820723665,2.53121360322779,1.8289883393465292
Northeast,Irrigated,990001,LS,A1,April 1,38,6465.37011157444,7.016324805589993,52.92460272737518,32.136819564972384,-225.52997101162998,-6.455510408073044,-225.52997101162998,7626.696607686239,1161.3264961117993,15.227123299246049,-0.19420031469764942
Northeast,Irrigated,990001,LS,A10,April 10,38,6629.434914910402,8.22655809759946,58.14831511326496,34.875464893497124,-264.43123154716665,-7.359657846875935,-264.43123154716665,7626.696607686239,997.2616927758372,13.075932400022177,-0.26515731373490653
Northeast,Irrigated,990001,LS,A20,April 20,38,6768.546320297532,10.622591006423983,66.44877718922574,45.37360531950863,-341.448366221374,-8.732208775874302,-341.448366221374,7626.696607686239,858.1502873887075,11.251926378241631,-0.3978887745413195
Northeast,Irrigated,990001,LS,M1,May 1,38,6910.169221232954,11.724580187084413,65.58661106728276,44.89462414065141,-376.87027083038936,-9.519145217616106,-376.87027083038936,7626.696607686239,716.5273864532846,9.394990037117292,-0.5259677131056317
Northeast,Irrigated,990001,LS,M10,May 10,38,7072.062718359067,12.214499042037643,71.06390172433224,48.061534993801416,-392.618028840056,-9.480520521776642,-392.618028840056,7626.696607686239,554.6338893271723,7.2722689502058895,-0.7078868356139253
Northeast,Irrigated,990001,LS,M20,May 20,38,7626.696607686239,12.128597993914122,72.47266989744168,44.212780344866445,-389.8568595056871,-8.547870065601158,-389.8568595056871,7626.696607686239,0.0,0.0,
Northeast,Irrigated,990002,MS,A1,April 1,38,7853.834497915023,1.8690127352642847,29.381269018370336,7.1903527555505455,2.7219501310238994,0.04194949258213549,2.7219501310238994,8197.239546940154,343.4050490251311,4.189276732230139,0.007926354428250416
Northeast,Irrigated,990002,MS,A10,April 10,38,7733.7002704834895,2.3938521356925504,36.447650174687254,10.943311168714075,3.4863037642590995,0.055886149083066626,3.4863037642590995,8197.239546940154,463.539276456665,5.654821648218073,0.0075210536438437585
Northeast,Irrigated,990002,MS,A20,April 20,38,7556.062774709793,3.761720951200271,45.480671700664935,16.910853150005632,5.478409345641574,0.09784558507299705,5.478409345641574,8197.239546940154,641.1767722303612,7.8218620861177355,0.008544304134076301
Northeast,Irrigated,990002,MS,M1,May 1,38,7674.631973402456,6.47949397047222,52.28220444043728,28.023216499492843,9.43645761696846,0.16397382551344486,9.43645761696846,8197.239546940154,522.607573537698,6.3754093136484675,0.018056488452874987
Northeast,Irrigated,990002,MS,M10,May 10,38,7952.859404936324,8.006328186633608,58.00743829595402,33.63011382846838,11.660073602198304,0.19747399218994474,11.660073602198304,8197.239546940154,244.38014200383077,2.9812492437780764,0.047712852225184184
Northeast,Irrigated,990002,MS,M20,May 20,38,8197.239546940154,11.081443705623803,67.6377775273301,44.748112250648035,16.138540191483308,0.2527256802872834,16.138540191483308,8197.239546940154,0.0,0.0,
Northeast,Irrigated,990003,SS,A1,April 1,38,4527.385946128705,0.32498591231826895,15.423193959202072,1.5327397723430627,4.080982989586011,0.09829669810742779,4.080982989586011,4819.983996393554,292.598050264849,6.0705191237933365,0.013947403223951955
